             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.143           0.0246             4.83          -0.0224              8.3             2.33             1.03
               1           0.105           0.0204                4          -0.0116             7.57             1.83            0.838
               2          0.0913           0.0244             3.82           -0.017             7.39             1.65            0.794
               3          0.0853           0.0261             3.71          -0.0139             7.29             1.63             0.77
               4           0.074           0.0283             3.68         -0.00167              7.3             1.61            0.772
               5          0.0839           0.0292             3.65          -0.0109             7.25             1.54            0.762
               6          0.0742           0.0304             3.61          -0.0115             7.24             1.53            0.759
               7          0.0847           0.0319             3.59          -0.0106             7.21             1.48             0.75
               8          0.0727            0.032             3.57         -0.00681              7.2              1.5            0.751
               9          0.0746           0.0327             3.56          -0.0124             7.25             1.57            0.761
              10          0.0789           0.0332             3.55         -0.00452             7.23             1.47            0.758
              11          0.0636            0.034             3.56        -0.000403             7.19             1.49            0.748
              12          0.0648           0.0354             3.54         -0.00559             7.11             1.46            0.729
              13          0.0691           0.0359             3.53          -0.0109             7.13             1.46            0.737
              14          0.0633           0.0373             3.53         -0.00808             7.14             1.45            0.737
              15          0.0376           0.0382             3.52           0.0158              7.2             1.44            0.753
              16          0.0628           0.0364             3.53         -0.00285             7.18             1.51            0.746
              17          0.0592           0.0383             3.53         -0.00215             7.17             1.43            0.746
              18          0.0568           0.0385             3.53          0.00062             7.17             1.42            0.746
              19          0.0614           0.0392             3.51         -0.00684             7.15             1.49            0.741
              20           0.051           0.0393              3.5          0.00191             7.14              1.4            0.739
              21          0.0577            0.038             3.49         -0.00497             7.17             1.44            0.744
              22          0.0301           0.0383             3.48           0.0255             7.15             1.46            0.741
              23          0.0501           0.0401             3.49         -0.00134             7.11             1.41            0.731
              24          0.0556           0.0406             3.48           -0.008             7.08             1.42            0.723
