             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.229           0.0326             11.6            0.127             17.9              6.3             1.79
               1          0.0316         0.000773             8.38        -0.000313             16.2             4.82             1.52
               2           0.021         0.000716             7.93          0.00121             16.4             5.51             1.55
               3        -0.00499         0.000463             8.01           0.0134             16.9             5.49             1.62
               4         0.00116          0.00217              9.3          0.00377             24.4              9.6             2.83
               5       -0.000314          0.00398             10.6           0.0078             27.6             9.24             3.36
               6         0.00317             0.03             12.4           0.0102             28.5             9.06             3.53
               7        -0.00601          0.00519             11.2          0.00957             30.6             8.91             3.85
               8         0.00843           0.0775             13.8          0.00119             28.3             10.3             3.47
