             #EP            #LOSS            #PROB             #VAL           #C_Val         #TEST_MU        #TEST_STD        #TEST_GAP
               0           0.369           0.0429             12.4            0.182             17.9             5.91             1.79
               1          0.0444         0.000613             8.53         -0.00714               16             4.34             1.51
               2          0.0364         0.000565              8.1         -0.00151             16.2             4.75             1.54
               3           0.027         0.000929             8.36          0.00679             17.3             5.59             1.71
               4          0.0201          0.00133             8.99           0.0056             20.2             7.18             2.16
               5          0.0291          0.00152             9.08         -0.00799             17.4             5.22             1.71
               6          0.0134         0.000781             8.78          0.00883             19.4             6.13             2.03
               7         0.00248          0.00134             9.06          0.00723             19.5             6.85             2.04
               8          -0.011          0.00124             8.83          0.00234               18             5.78             1.78
